Tanggal,Pelanggan,Deskripsi Barang,Jml,Hrg Satuan,SubTotal,Jenis Barang,Merek Barang,Salesman,Jenis Alat,Transaction_ID
2025-03-01,ONLINE 3,"GERINDA DUDUK TIGER 6""",1,"Rp309,750",309750,POWER TOOLS PT,TIGER,AHEN (SHOPEE),GERINDA DUDUK,as-0301-2
2025-03-01,ONLINE 3,ARMATURE DONG CHENG DSM03-100A (GWS 6-100),1,"Rp90,000",90000,SPARE PART PT,DONGCHENG,AHEN (SHOPEE),ARMATURE,as-0301-2
2025-03-01,ONLINE 3,"GERGAJI TANGAN TEKIRO TPR 18"" 3T GT-HS1554",1,"Rp97,500",97500,TEKNIK,TEKIRO,AHEN (SHOPEE),GERGAJI TANGAN,as-0301-2
2025-03-01,ONLINE 3,C.LESS IMPACT DRIVER DONG CHENG DCJZ1202I,1,"Rp395,000",395000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),C.LESS IMPACT DRIVER,as-0301-2
2025-03-01,ONLINE 3,GERINDA DONG CHENG DSM03-100,1,"Rp248,000",248000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),GERINDA,as-0301-3
2025-03-01,ONLINE 3,PLANER DONG CHENG DMB04-82,1,"Rp349,000",349000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),PLANER,as-0301-3
2025-03-01,ONLINE 3,GERINDA DONG CHENG DSM03-100,2,"Rp248,000",496000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),GERINDA,as-0301-3
2025-03-01,ONLINE 3,ORBITAL SANDER DONG CHENG DSB185,1,"Rp301,000",301000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),ORBITAL SANDER,as-0301-3
2025-03-01,ONLINE 3,TRIMMER DONG CHENG DMP02-6,1,"Rp367,000",367000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),TRIMMER,as-0301-3
2025-03-01,ONLINE 3,INVERTER RHINO 120A 450W,1,"Rp480,700",480700,POWER TOOLS,RHINO,AHEN (SHOPEE),INVERTER,as-0301-3
2025-03-01,ONLINE 3,BATU ASAH MAKITA 150-1200 (D-17756),1,"Rp85,000",85000,ACCESORIS PT,MAKITA,AHEN (SHOPEE),BATU ASAH,as-0301-3
2025-03-01,ONLINE 3,CIRCULAR SAW DONGCHENG DMY02-185SH,1,"Rp586,500",586500,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),CIRCULAR SAW,as-0301-3
2025-03-01,ONLINE 3,CIRCULAR SAW DONGCHENG DMY02-185SH,1,"Rp586,500",586500,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),CIRCULAR SAW,as-0301-3
2025-03-01,ONLINE 3,INVERTER RHINO 120A 900W,1,"Rp605,000",605000,POWER TOOLS,RHINO,AHEN (SHOPEE),INVERTER,as-0301-3
2025-03-01,ONLINE 3,ORBITAL SANDER DONG CHENG DSB185,2,"Rp301,000",602000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),ORBITAL SANDER,as-0301-3
2025-03-01,ONLINE 3,IMPACT WRENCH DONG CHENG DPB12,1,"Rp637,500",637500,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),IMPACT WRENCH,as-0301-4
2025-03-01,ONLINE 3,"DIAMOND WHEEL BOSCH 7"" CONCRETE 2608602199",1,"Rp247,000",247000,ACCESORIS PT,BOSCH,AHEN (SHOPEE),DIAMOND WHEEL,as-0301-4
2025-03-01,ONLINE 3,BOR DUDUK MODERN 13MM,1,"Rp1,203,600",1203600,POWER TOOLS,MODERN,AHEN (SHOPEE),BOR DUDUK,as-0301-4
2025-03-01,ONLINE 3,WD 40 SMARTSTRAW MUP 382ML,10,"Rp81,000",810000,LUBRICANT,WD-40,AHEN (TOPED),SMARTSTRAW MUP,at-0301-1
2025-03-01,ONLINE 3,"SOCK DR 1/2"" TEKIRO 6PT 12MM SC-SC0378",1,"Rp14,575",14575,TEKNIK,TEKIRO,AHEN (TOPED),"SOCK DR 1/2""",at-0301-1
2025-03-01,ONLINE 3,OBENG TPR TEKIRO PH2X125MM (+) SD-TR0894,1,"Rp30,600",30600,TEKNIK,TEKIRO,AHEN (TOPED),OBENG TPR,at-0301-1
2025-03-01,ONLINE 3,OBENG BOLAK BALIK TEKIRO 125MM SD-TW2247,1,"Rp38,600",38600,TEKNIK,TEKIRO,AHEN (TOPED),OBENG BOLAK BALIK,at-0301-1
2025-03-01,ONLINE 3,"TANG LANCIP JETJO 6"" 400860",2,"Rp27,500",55000,TEKNIK,JETJO,AHEN (TOPED),TANG LANCIP,at-0301-1
2025-03-01,ONLINE 3,"SOCK DR 1/2"" TEKIRO 6PT 13MM SC-SC0379",3,"Rp15,900",47700,TEKNIK,TEKIRO,AHEN (TOPED),"SOCK DR 1/2""",at-0301-1
2025-03-01,ONLINE 3,"BATU SLEP WD 4""X6",30,"Rp6,000",180000,ACCESORIS PT,WD,AHEN (TOPED),BATU SLEP,at-0301-1
2025-03-01,ONLINE 3,"BATU POTONG WD 4""X1,2",100,"Rp2,800",280000,ACCESORIS PT,WD,AHEN (TOPED),BATU POTONG,at-0301-1
2025-03-01,ONLINE 3,SELANG RECOIL HIJAU TEKIRO (5X8) 9M AT-RH1116,3,"Rp109,000",327000,SELANG,TEKIRO,AHEN (TOPED),SELANG RECOIL HIJAU,at-0301-1
2025-03-01,ONLINE 3,INVERTER RHINO 120A 450W,1,"Rp480,700",480700,POWER TOOLS,RHINO,AHEN (TOPED),INVERTER,at-0301-1
2025-03-01,ONLINE 3,SERKEL MAKITA 255X100T ALM P-68002,1,"Rp427,500",427500,ACCESORIS PT,MAKITA,AHEN (TOPED),SERKEL,at-0301-1
2025-03-01,ONLINE 4,GERINDA MODERN SIM100B,1,"Rp240,000",240000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE 2),GERINDA,fs-0301-1
2025-03-01,ONLINE 4,RANTAI OREGON POTONG 21BPX.36T,1,"Rp156,000",156000,ACCESORIS CHAINSAW,OREGON,FEBRI (SHOPEE 2),RANTAI,fs-0301-1
2025-03-01,ONLINE 4,CARBON BRUSH MODERN CB 51,1,"Rp1,600",1600,SPARE PART PT,MODERN,FEBRI (SHOPEE),CARBON BRUSH,fs-0301-1
2025-03-01,ONLINE 4,FILTER ATAS SPRAYER KANEDA**,1,"Rp4,200",4200,SPARE PART KANEDA,KANEDA,FEBRI (SHOPEE),FILTER ATAS SPRAYER,fs-0301-1
2025-03-01,ONLINE 4,RANTAI OREGON POTONG 20LPX.43T,1,"Rp169,000",169000,ACCESORIS CHAINSAW,OREGON,FEBRI (SHOPEE),RANTAI,fs-0301-1
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-1
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-1
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-2
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-3
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-4
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-5
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-6
2025-03-01,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-7
2025-03-01,ONLINE 4,GERINDA MODERN M2340 V,1,"Rp277,700",277700,POWER TOOLS,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-8
2025-03-01,ONLINE 4,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-8
2025-03-01,ONLINE 4,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0301-8
2025-03-01,ONLINE 4,PLANER MODERN M 2900,1,"Rp395,000",395000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),PLANER,fs-0301-8
2025-03-01,ONLINE 4,PLANER MODERN M 2900,1,"Rp395,000",395000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),PLANER,fs-0301-8
2025-03-01,ONLINE 4,PLANER RYU RPL 82-3A-PR01 W/ACCESSORIES,1,"Rp410,000",410000,POWER TOOLS,RYU,FEBRI (SHOPEE),PLANER,fs-0301-8
2025-03-01,ONLINE 4,MITTER SAW MODERN M3700,1,"Rp826,200",826200,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),MITTER SAW,fs-0301-9
2025-03-01,ONLINE 4,C.LESS IMPACT WRENCH MODERN M-65,1,"Rp1,125,000",1125000,POWER TOOLS,MODERN,FEBRI (SHOPEE),C.LESS IMPACT WRENCH,fs-0301-9
2025-03-01,ONLINE 4,CUT OFF MAKITA M 2401 B,1,"Rp1,820,700",1820700,POWER TOOLS,MAKITA,FEBRI (SHOPEE),CUT OFF,fs-0301-9
2025-03-01,CASH/TUNAI,CARBON BRUSH BULL BLISTER CB 459,1,"Rp10,000",10000,SPARE PART PT,BULL,HANA,CARBON BRUSH,h-0301-1
2025-03-01,CASH/TUNAI,SP.COMP KAPASITOR 25MF 0.75HP (35),1,"Rp35,000",35000,TEKNIK,TOKUDA,HANA,SP.COMP KAPASITOR 25MF 0.75HP (35),h-0301-1
2025-03-01,CASH/TUNAI,KUNCI L SET PANJANG TEKIRO 2-10MM (8PCS) HK-LS1200,1,"Rp105,000",105000,TEKNIK,TEKIRO,HANA,KUNCI L SET PANJANG,h-0301-1
2025-03-01,APOTEK ANUGRAH,ARMATURE BULL MT 191/192/M1901B/M1902B,2,"Rp120,000",240000,TEKNIK,BULL,HANA,ARMATURE,h-0301-2
2025-03-01,CASH/TUNAI,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,HANA,ACCU SPRAYER,h-0301-2
2025-03-01,CASH/TUNAI,ACCU SPRAYER KANEDA 12A,2,"Rp190,000",380000,SPARE PART KANEDA,KANEDA,HANA,ACCU SPRAYER,h-0301-2
2025-03-01,CASH/TUNAI,C.LESS SCREW DRIVER BOSCH IXO 7 06039E0050,1,"Rp600,000",600000,POWER TOOLS,BOSCH,HANA,C.LESS SCREW DRIVER,h-0301-2
2025-03-01,APOTEK ANUGRAH,ARMATURE BULL MT 191/192/M1901B/M1902B,8,"Rp120,000",960000,TEKNIK,BULL,HANA,ARMATURE,h-0301-2
2025-03-01,ONLINE 1,MATA MITTERSAW ESSEN 7.5X80T (ALM)	,1,"Rp87,500",87500,ACCESORIS PT,ESSEN,MICHAEL (LAZADA),MATA MITTERSAW,ml-0301-1
2025-03-01,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0301-1
2025-03-01,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0301-1
2025-03-01,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0301-1
2025-03-01,ONLINE 1,GERINDA MODERN M2340 V,1,"Rp291,500",291500,POWER TOOLS,MODERN,MICHAEL (LAZADA),GERINDA,ml-0301-1
2025-03-01,ONLINE 1,SANDER MODERN M2500,1,"Rp331,500",331500,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),SANDER,ml-0301-2
2025-03-01,ONLINE 1,C.LESS DRILL MODERN M-12V,1,"Rp377,400",377400,POWER TOOLS,MODERN,MICHAEL (LAZADA),C.LESS DRILL,ml-0301-3
2025-03-01,ONLINE 1,GERINDA DONG CHENG DSM03-100,2,"Rp260,000",520000,POWER TOOLS,DONGCHENG,MICHAEL (LAZADA),GERINDA,ml-0301-3
2025-03-01,ONLINE 1,C.LESS POTONG RUMPUT MODERN M-45,1,"Rp979,200",979200,POWER TOOLS,MODERN,MICHAEL (LAZADA),C.LESS POTONG RUMPUT,ml-0301-3
2025-03-01,ONLINE 1,CARBON BRUSH MODERN CB 459,1,"Rp3,400",3400,SPARE PART PT,MODERN,MICHAEL (SHOPEE),CARBON BRUSH,ms-0301-1
2025-03-01,ONLINE 1,FILTER ATAS SPRAYER KANEDA**,1,"Rp4,200",4200,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),FILTER ATAS SPRAYER,ms-0301-2
2025-03-01,ONLINE 1,CARBON BRUSH MODERN CB 411,2,"Rp2,300",4600,SPARE PART PT,MODERN,MICHAEL (SHOPEE),CARBON BRUSH,ms-0301-3
2025-03-01,ONLINE 1,CARBON BRUSH MODERN CB 459,2,"Rp3,400",6800,SPARE PART PT,MODERN,MICHAEL (SHOPEE),CARBON BRUSH,ms-0301-4
2025-03-01,ONLINE 1,"SOCK DR 1/2"" TEKIRO 6PT 12MM SC-SC0378",1,"Rp16,300",16300,TEKNIK,TEKIRO,MICHAEL (SHOPEE),"SOCK DR 1/2""",ms-0301-5
2025-03-01,ONLINE 1,"BATU POTONG AKIK ZEBRA SILVER DMX 4""X1X20X20MM",2,"Rp19,800",39600,ACCESORIS PT,DMX,MICHAEL (SHOPEE),BATU POTONG AKIK ZEBRA SILVER,ms-0301-6
2025-03-01,ONLINE 1,SWITCH MODERN M2100C BOR,1,"Rp23,400",23400,SPARE PART PT,MODERN,MICHAEL (SHOPEE),SWITCH,ms-0301-7
2025-03-01,ONLINE 1,"KUNCI INGGRIS JETJO 6"" 300380",1,"Rp31,300",31300,TEKNIK,JETJO,MICHAEL (SHOPEE),KUNCI INGGRIS,ms-0301-7
2025-03-01,ONLINE 1,OBENG GAGANG KARET HIJAU TEKIRO(+)PH1X75MM SD-CG0850,1,"Rp25,400",25400,TEKNIK,TEKIRO,MICHAEL (SHOPEE),OBENG GAGANG KARET HIJAU,ms-0301-8
2025-03-01,ONLINE 1,DINAMO SPRAYER 3.1LPM OLD-P33,1,"Rp57,500",57500,SPARE PART,KANEDA,MICHAEL (SHOPEE),DINAMO SPRAYER 3.1LPM OLD-P33,ms-0301-9
2025-03-01,ONLINE 1,MATA MITTERSAW ESSEN 7.5X80T (ALM)	,1,"Rp87,500",87500,ACCESORIS PT,ESSEN,MICHAEL (SHOPEE),MATA MITTERSAW,ms-0301-10
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-11
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-12
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-12
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-12
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-12
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-12
2025-03-01,ONLINE 1,X-LINE BOSCH SET (33PCS),1,"Rp184,000",184000,ACCESORIS PT,BOSCH,MICHAEL (SHOPEE),X-LINE,ms-0301-12
2025-03-01,ONLINE 1,GERINDA MODERN M2340 V,1,"Rp277,700",277700,POWER TOOLS,MODERN,MICHAEL (SHOPEE),GERINDA,ms-0301-12
2025-03-01,ONLINE 1,GERINDA MODERN M2340 V,1,"Rp277,700",277700,POWER TOOLS,MODERN,MICHAEL (SHOPEE),GERINDA,ms-0301-12
2025-03-01,ONLINE 1,GERINDA MODERN M2340 V,1,"Rp277,700",277700,POWER TOOLS,MODERN,MICHAEL (SHOPEE),GERINDA,ms-0301-12
2025-03-01,ONLINE 1,DRILL MODERN M2130B,1,"Rp317,500",317500,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0301-13
2025-03-01,ONLINE 1,DRILL MODERN M2130B,1,"Rp317,500",317500,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0301-13
2025-03-01,ONLINE 1,DRILL MODERN M2130B,1,"Rp317,500",317500,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0301-13
2025-03-01,ONLINE 1,DRILL MODERN M2130B,1,"Rp317,500",317500,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0301-13
2025-03-01,ONLINE 1,DRILL MODERN M2130B,1,"Rp317,500",317500,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0301-13
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-13
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-14
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-15
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-16
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-17
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-17
2025-03-01,ONLINE 1,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),GERINDA,ms-0301-17
2025-03-01,ONLINE 1,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),GERINDA,ms-0301-18
2025-03-01,ONLINE 1,DRILL MODERN M2100C,1,"Rp260,000",260000,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0301-19
2025-03-01,ONLINE 1,SANDER MODERN M2500,1,"Rp331,500",331500,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),SANDER,ms-0301-19
2025-03-01,ONLINE 1,DRILL MAKITA M 0600B,1,"Rp387,600",387600,POWER TOOLS,MAKITA,MICHAEL (SHOPEE),DRILL,ms-0301-20
2025-03-01,ONLINE 1,IMPACT DRILL MODERN M2150 13M,1,"Rp319,800",319800,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),IMPACT DRILL,ms-0301-20
2025-03-01,ONLINE 1,C.LESS DRILL MODERN M-12V,1,"Rp377,400",377400,POWER TOOLS,MODERN,MICHAEL (SHOPEE),C.LESS DRILL,ms-0301-20
2025-03-01,ONLINE 1,ORBITAL SANDER DONG CHENG DSB185,1,"Rp301,000",301000,POWER TOOLS,DONGCHENG,MICHAEL (SHOPEE),ORBITAL SANDER,ms-0301-20
2025-03-01,ONLINE 1,IMPACT DRILL MAKITA M 0801B,1,"Rp555,900",555900,POWER TOOLS,MAKITA,MICHAEL (SHOPEE),IMPACT DRILL,ms-0301-20
2025-03-01,ONLINE 1,JIG SAW MODERN M2200L,1,"Rp357,000",357000,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),JIG SAW,ms-0301-20
2025-03-01,ONLINE 1,C.LESS DRILL MODERN M-13 SET,1,"Rp382,500",382500,POWER TOOLS,MODERN,MICHAEL (SHOPEE),C.LESS DRILL,ms-0301-20
2025-03-01,ONLINE 1,VACUM CLEANER RYU RVC 15L,1,"Rp583,500",583500,POWER TOOLS,RYU,MICHAEL (SHOPEE),VACUM CLEANER,ms-0301-21
2025-03-01,ONLINE 1,C.LESS CIRCULAR SAW DONG CHENG DCMY02-185 BM BL,1,"Rp1,695,000",1695000,POWER TOOLS,DONGCHENG,MICHAEL (SHOPEE),C.LESS CIRCULAR SAW,ms-0301-22
2025-03-01,ONLINE 1,ROUTER MODERN M2850,1,"Rp813,500",813500,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),ROUTER,ms-0301-22
2025-03-01,ONLINE 1,MITTER SAW MODERN M3700,1,"Rp826,200",826200,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),MITTER SAW,ms-0301-22
2025-03-01,ONLINE 1,MITTER SAW MODERN M3700,1,"Rp826,200",826200,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),MITTER SAW,ms-0301-22
2025-03-01,ONLINE 1,MITTER SAW MODERN M3700,1,"Rp826,200",826200,POWER TOOLS PT,MODERN,MICHAEL (SHOPEE),MITTER SAW,ms-0301-22
2025-03-01,ONLINE 1,ACCU SPRAYER TOKUDA 12A,3,"Rp182,500",547500,SPARE PART KANEDA,TOKUDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-22
2025-03-01,ONLINE 1,TRIMMER MAKITA 3709,1,"Rp1,045,500",1045500,POWER TOOLS,MAKITA,MICHAEL (SHOPEE),TRIMMER,ms-0301-22
2025-03-01,ONLINE 1,"C.LESS ANGLE GRINDER MODERN MG-20LI 4""",1,"Rp1,281,200",1281200,POWER TOOLS,MODERN,MICHAEL (SHOPEE),C.LESS ANGLE GRINDER,ms-0301-22
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,5,"Rp197,500",987500,SPARE PART KANEDA,KANEDA,MICHAEL (SHOPEE),ACCU SPRAYER,ms-0301-22
2025-03-01,ONLINE 1,CIRCULAR SAW MAKITA M 5801B,1,"Rp1,275,000",1275000,POWER TOOLS,MAKITA,MICHAEL (SHOPEE),CIRCULAR SAW,ms-0301-22
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-1
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-2
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-3
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-3
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-4
2025-03-01,ONLINE 1,ACCU SPRAYER KANEDA 12A,1,"Rp197,500",197500,SPARE PART KANEDA,KANEDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-5
2025-03-01,ONLINE 1,ACCU SPRAYER TOKUDA 12A,1,"Rp182,500",182500,SPARE PART KANEDA,TOKUDA,MICHAEL (TIKTOK),ACCU SPRAYER,mt-0301-5
2025-03-01,ONLINE 1,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,MICHAEL (TIKTOK),GERINDA,mt-0301-5
2025-03-01,ONLINE 1,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,MICHAEL (TIKTOK),GERINDA,mt-0301-6
